Crop,Seed Treatment,Soil Health & Enrichment,Biostimulants & Adjuvants,Crop Protection,Micronutrient
Ragi,Prerak Millet,Oorjit FVC Granules,Oorjit Liquid,Bhujbal Vertici,Grow Magic
Arhar/Tur,Prerak Pulses,Oorjit FVC Granules,Oorjit Liquid,Bhujbal Monas,Gullack Fe
Moong(Green Gram),Prerak Pulses,Oorjit N-Boost,Collosal,Bhujbal Monas,Gullack Zn
Gram,Prerak Pulses,GrowPhos,Grow Hume,Bhujbal Beauver,Gullack Zn Liquid 
Masoor,Prerak Pulses,Oorjit N-Boost,Collosal,Bhujbal Monas,Gullack K Liquid
Other  Rabi pulses,Prerak Pulses,GrowPhos,Grow Hume,Bhujbal Tricho,Grow Magic
Urad,Prerak Pulses,Oorjit Bentonite Gr,Collosal,Bhujbal Monas,Gullack B Chelated 
Garlic,Prerak Drip,Oorjit Bentonite Gr,Grow Hume,Bhujbal Tricho,Gullack B Chelated
Onion,Prerak Drip,Oorjit Bentonite Gr,Serv-On,Bhujbal Monas,Gullack Zn 
Sugarcane,Prerak Drip,Oorjit FVC Granules,Collosal,Bhujbal Vertici,Gullack Ca
Turmeric,Prerak Drip,Oorjit N-Boost,Oorjit Liquid,Bhujbal Tricho,Gullack B Liquid
Groundnut,Prerak Drip,Groundnut,Grow Hume,Bhujbal Beauver,Gullack Fe
Horse-gram,Prerak Drip, Growrrhizae WP,Grow Hume,Bhujbal Vertici,Grow Magic
Maize,Prerak Drip,Oorjit FVC Granules,Serv-On,Bhujbal Tricho,Gullack Zn Liquid
Barley,Prerak Drip,Oorjit FVC Granules,Collosal,Bhujbal Beauver,Gullack Zn Liquid
Other Cereals,Prerak Drip,Oorjit N-Boost,Grow Hume,Bhujbal Monas,Gullack Ca
Rice,Prerak Drip,Oorjit FVC Granules,Collosal,Bhujbal Tricho,Gullack Fe 
Sesamum,Prerak Drip,Growrrhizae WP,Grow Hume,Bhujbal Beauver,Grow Magic
Sunflower,Prerak Drip,Oorjit FVC Granules,Collosal,Bhujbal Vertici,Gullack B Chelated
Potato,Prerak Drip,Oorjit FVC Granules,Serv-On,Bhujbal Monas,Gullack K Liquid 
Tobacco,Prerak General,Oorjit N-Boost,Oorjit Liquid,Bhujbal Tricho,Gullack Fe
Moong(Green Gram),Prerak Pulses,Oorjit N-Boost,Collosal,Bhujbal Monas,Gullack Zn
